Uuid,Void/Retire,Same as mappings,Short name:en,Fully specified name:en,Fully specified name:fr,Data class,Data Type,Members,_version:1,_order:500
a5a5aaf1-541e-4ca6-9753-bd4b0e479f81,,CIEL:73449;SNOMED:372840008,,Ciprofloxacin,Ciprofloxacine,Drug,N/A,,,
f9608d19-a304-4508-9074-4858cd3ccbed,,CIEL:79782;SNOMED:372602008,,Metronidazole,Métronidazole,Drug,N/A,,,
9881091b-1802-4c62-8b80-a8fcb170b59f,,CIEL:70116;SNOMED:387517004,,Paracetamol,Paracétamol,Drug,N/A,,,
f05a49a3-8930-434d-a6da-240f2e127754,,CIEL:84360;SNOMED:387223008,,Streptomycin,Streptomycine,Drug,N/A,,,
83c9a8d1-d282-437f-a882-ff4c3179908d,,CIEL:78280;SNOMED:387472004,,Isoniazid,Lisoniazide,Drug,N/A,,,
38dcc101-d385-4771-b005-7ba9825ca0c6,,CIEL:767;SNOMED:387159009,,Rifampicin,Rifampicine,Drug,N/A,,,
aa018411-bcb2-4392-ab5f-b489f7243612,,CIEL:75948;SNOMED:387129004,,Ethambutol,Ethambutol,Drug,N/A,,,
0a1d2888-fd53-4031-9470-ca2140f997a9,,CIEL:72650;SNOMED:5540006,,Calcium,,Drug,N/A,,,
5fd156c3-c76f-4067-9856-6a6bd1912a96,,CIEL:82900;SNOMED:387076005,,Pyrazinamide,Pyrazinamide,Drug,N/A,,,
63aaaeba-9b3c-4ff5-9faf-522c10b6f54c,,CIEL:79651;SNOMED:372567009,,Metformin,Metformine,Drug,N/A,,,
01e09697-7bd1-42da-9c71-79f0fd1f8e02,,CIEL:82111;SNOMED:395828009,,Pioglitazone,Pioglitazone,Drug,N/A,,,
e6701098-9f0e-41f9-9c9d-fcdb57715bef,,CIEL:77032;SNOMED:387143009,,Glipizide,Glipizide,Drug,N/A,,,
38752a31-5b23-4957-ae0c-ecdbc6b0a489,,CIEL:70102;SNOMED:391703003,,Aceclofenac,Aceclofenac,Drug,N/A,,,
783aff6f-c427-4511-8df4-872b87fad050,,CIEL:70245;SNOMED:372729009,,Acyclovir,Acyclovir,Drug,N/A,,,
d770fc0a-1482-4078-b0cd-9a91d9afe0e5,,CIEL:70294;SNOMED:387362001,,Adrenaline,Adrénaline,Drug,N/A,,,
8f668b49-584f-4cba-b0f2-817a8aaf50c4,,CIEL:70439;SNOMED:387558006,,Albendazole,Albendazole,Drug,N/A,,,
80afda71-a024-4565-a936-9800fb3cb66d,,CIEL:70878;SNOMED:387135004,,Allopurinol,Allopurinol,Drug,N/A,,,
93ab76c0-6a9a-4d3e-9654-78dadae5db72,,CIEL:70938;SNOMED:386983007,,Alprazolam,Alprazolam,Drug,N/A,,,
15ed8cf2-f0bf-4cfa-9181-9a285e1349bd,,CIEL:71060;SNOMED:387266001,,Amikacin,Amikacine,Drug,N/A,,,
