id,name,categ_id/id,type,uom_id/id,uom_po_id/id,invoice_policy,x_concept_source,x_concept_code,x_drug_strength
init.b89f03d9-a61b-4d4e-9636-5b28fdef4525,Acetaminophene Co 500mg,init.categ_products_essential_drugs_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,Ordered quantities,https://cielterminology.org,70116,500mg
init.b61b29d2-41ee-4079-8fbb-a054596b7ae1,Acetaminophene Gtts 60mg/ml,init.categ_products_drug_orders,product,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,Ordered quantities,https://cielterminology.org,70116,60mg/ml
init.2819e041-6657-4a27-8472-07563eb6038f,Acetaminophene Sirop 120mg/5ml,init.categ_products_drug_orders,product,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,Ordered quantities,https://cielterminology.org,70116,120mg/5ml
init.4eb11496-3275-4087-ab5c-b1e4ea885e99,Acide Folique Co 5mg,init.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,Ordered quantities,https://cielterminology.org,76613,5mg
init.123c4342-552a-4db9-bb0b-a7d0bd2e5849,Acyclovir Co 400mg,init.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,Ordered quantities,https://cielterminology.org,70245,400mg
init.a74fe93c-b023-4159-8bd6-5d40a0909636,Acyclovir creme 5%,init.categ_products_drug_orders,product,init.de57d5f9-4eba-4a92-9b6f-f8edff118ad1,init.de57d5f9-4eba-4a92-9b6f-f8edff118ad1,Ordered quantities,https://cielterminology.org,70245,0.03
init.77addc86-5036-4a82-b722-826635e1ce0b,Adrenaline Injection 1 mg,init.categ_products_drug_orders,product,init.6705f17a-242e-44dc-87fa-ed6a15f2a1cb,init.6705f17a-242e-44dc-87fa-ed6a15f2a1cb,Ordered quantities,https://cielterminology.org,70294,1mg
init.37302e59-9824-4ec3-a8f7-6b491a5ee183,Albendazole Co (MSPP) 400mg,init.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,Ordered quantities,https://cielterminology.org,70439,400mg
init.621d0806-2a13-41aa-b922-2fb3cdffcefa,Albendazole Co (Vitamin Angels) 400mg,init.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,Ordered quantities,https://cielterminology.org,70439,400mg
init.42ff800a-5d35-4908-bb6e-ffd0b5d14189,Albendazole Co 400mg,init.categ_products_essential_drugs_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,Ordered quantities,https://cielterminology.org,70439,400mg
init.7bf6328a-4194-484e-846f-a98bd41634e8,Albendazole Sirop 400 mg/10 ml,init.categ_products_drug_orders,product,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,Ordered quantities,https://cielterminology.org,70439,400mg/10ml
init.39a96958-781f-4d84-a9e8-56f6dfbf9061,Albuterol Inhalation 2.5mg/3ml,init.categ_products_drug_orders,product,init.1957f9ad-2d7c-4bc3-ac8e-527849c7bd98,init.1957f9ad-2d7c-4bc3-ac8e-527849c7bd98,Ordered quantities,https://cielterminology.org,70460,2.5mg/3ml
init.c3fb68d0-ba3d-4b94-bcb8-b2286d9b0358,Alpha Metyl Dopa Co 250mg,init.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,Ordered quantities,http://snomed.info/sct/,373542000,250mg
init.58a9f6d0-1092-4c9c-b195-fbd7e43b39dd,Aminovit Gtts,init.categ_products_drug_orders,product,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,Ordered quantities,http://snomed.info/sct/,52518006,N/A
init.c91f7481-cb7b-40ad-92cc-e8f54534de29,Amlodipine Co 10mg,init.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,Ordered quantities,https://cielterminology.org,71137,10mg
init.d879219a-a74d-4a4a-a893-ebeb5594c629,Amoxycilline Co 500mg,init.categ_products_essential_drugs_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,Ordered quantities,https://cielterminology.org,71160,500mg
init.7b0c0119-7aed-48a6-8501-c8d266098aab,Amoxycilline Sirop 250 mg,init.categ_products_drug_orders,product,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,Ordered quantities,https://cielterminology.org,71160,250mg
init.a0f54b5b-0eda-49aa-82be-3634df0de78f,Ampiciline Injection vial 1g,init.categ_products_drug_orders,product,init.5de903e6-2a66-4253-891d-86558e1282d2,init.5de903e6-2a66-4253-891d-86558e1282d2,Ordered quantities,https://cielterminology.org,71188,vial 1g
init.8e89914e-560b-4ac1-851c-ffeb54cb677f,Apetamine Sirop,init.categ_products_drug_orders,product,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,Ordered quantities,http://snomed.info/sct/,372683000,N/A
init.a42089dd-e91e-49a3-8c17-8571f2e5a404,Apressoline Injection vial 20 mg,init.categ_products_drug_orders,product,init.6705f17a-242e-44dc-87fa-ed6a15f2a1cb,init.6705f17a-242e-44dc-87fa-ed6a15f2a1cb,Ordered quantities,https://cielterminology.org,77675,vial 20mg
init.02dd2a8e-1a8f-49cb-bc06-daf9e1af16ba,Aspirine Co 81mg,init.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,Ordered quantities,https://cielterminology.org,71617,81mg
init.dae4050d-c309-4a20-a62e-e84d192e1e87,Atenolol Co 50mg,init.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,Ordered quantities,https://cielterminology.org,71652,50mg
init.81d0cb9f-5104-4df2-84ee-2818a1af56d6,Augmentin 250 mg/62.5 mg/5 ml,init.categ_products_drug_orders,product,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,Ordered quantities,https://cielterminology.org,103567,250mg/62.5mg/5ml
init.1cd391d8-ed72-4c61-a203-faf40bee6921,Augmentin Co 625mg,init.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,Ordered quantities,http://snomed.info/sct/,774587000,625mg
init.2e2bf852-a920-41cd-bc27-65f1da248045,Azythromycine Co 500mg,init.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,Ordered quantities,https://cielterminology.org,71780,500mg
init.43b16225-ca24-44f4-9372-8b54fd6463b0,BCG,init.categ_products_drug_orders,product,init.5de903e6-2a66-4253-891d-86558e1282d2,init.5de903e6-2a66-4253-891d-86558e1282d2,Ordered quantities,https://cielterminology.org,886,
init.4f93c00b-cf6e-48a1-b1da-ab3551915e25,Bebe Sirop,init.categ_products_drug_orders,product,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,Ordered quantities,https://unknown.org,1948436920,N/A
init.a8e46194-ae9c-44b1-97a6-03be94ca54dd,Benzathine 2.4 IU,init.categ_products_drug_orders,product,init.5de903e6-2a66-4253-891d-86558e1282d2,init.5de903e6-2a66-4253-891d-86558e1282d2,Ordered quantities,http://snomed.info/sct/,75247008,2.4IU
init.c872abc2-47ed-4eb2-bd6e-b6dbf6d6a95f,Benzyl Benzoate Lotion 25%,init.categ_products_drug_orders,product,init.de57d5f9-4eba-4a92-9b6f-f8edff118ad1,init.de57d5f9-4eba-4a92-9b6f-f8edff118ad1,Ordered quantities,https://cielterminology.org,72075,0.25
init.3f9e7636-7443-45bf-a3fb-fd0530d3d43a,Bromexhine Sirop 4mg/5ml,init.categ_products_drug_orders,product,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,Ordered quantities,https://cielterminology.org,72401,4mg/5ml
init.1d153d70-219e-4683-96c2-c1337a2eea85,Calamine lotion,init.categ_products_drug_orders,product,init.de57d5f9-4eba-4a92-9b6f-f8edff118ad1,init.de57d5f9-4eba-4a92-9b6f-f8edff118ad1,Ordered quantities,https://cielterminology.org,72621,N/A
init.1483054c-f2e7-499c-adf2-7c9a51ccc055,Captopril Co 25mg,init.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,Ordered quantities,https://cielterminology.org,72806,25mg
init.da76ce4e-1a18-4232-aba1-16ab7e19df16,Carbamazepine 200 mg,init.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,Ordered quantities,http://snomed.info/sct/,387222003,200mg
init.368866e6-0b82-4049-8f10-9fc2bbf43066,Ceftriaxone Injection vial 1g,init.categ_products_drug_orders,product,init.5de903e6-2a66-4253-891d-86558e1282d2,init.5de903e6-2a66-4253-891d-86558e1282d2,Ordered quantities,https://cielterminology.org,73041,vial 1g
init.588c4abc-3b4b-43c8-a55f-5e80b2c90f1e,Chloroquine Co 250 mg,init.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,Ordered quantities,https://cielterminology.org,73300,250mg
init.da1aafd5-78a3-4848-8057-63a424b0aead,Chloroquine Sirop 25 mg/ 5 ml,init.categ_products_drug_orders,product,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,Ordered quantities,https://cielterminology.org,73300,25mg/5ml
init.9b305550-beb8-4c7b-a800-caab72438430,Ciprofloxacin Co 500mg,init.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,Ordered quantities,https://cielterminology.org,73449,500mg
init.ee3e761a-3d43-4c51-98a3-cc2bd94946b6,Clarithromycine Co 500mg,init.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,Ordered quantities,https://cielterminology.org,73498,500mg
init.77fb133c-02c4-443d-9ec2-8630c2f53690,Clarithromycine Sirop,init.categ_products_drug_orders,product,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,Ordered quantities,https://cielterminology.org,73498,N/A
init.1a2354cb-3a85-4af9-8f36-d5146bda46a1,Cloxacilline Co 500mg,init.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,Ordered quantities,https://cielterminology.org,73628,500mg
init.ea44b958-6805-40ad-a6e3-7b67aa2fe0d1,Cloxacilline Sirop 250 mg/5ml,init.categ_products_drug_orders,product,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,Ordered quantities,https://cielterminology.org,73628,250mg/5ml
init.bebc4d5f-df7b-485a-9b3b-3420f536cb6f,Cotrim Co 960mg,init.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,Ordered quantities,https://cielterminology.org,105281,960mg
init.bed41e87-9cfc-4d1f-9b44-c23732e6c162,Cotrim Sirop 240 mg/ 5 ml,init.categ_products_drug_orders,product,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,Ordered quantities,https://cielterminology.org,105281,240mg/5ml
init.012f0f5d-c76e-4a28-8e60-30c440f5ff62,Depo Provera,init.categ_products_drug_orders,product,init.5de903e6-2a66-4253-891d-86558e1282d2,init.5de903e6-2a66-4253-891d-86558e1282d2,Ordered quantities,http://snomed.info/sct/,126112002,N/A
init.b3daa156-5432-4f19-9de9-6788ad43c5b6,Depo Provera (MSPP),init.categ_products_drug_orders,product,init.5de903e6-2a66-4253-891d-86558e1282d2,init.5de903e6-2a66-4253-891d-86558e1282d2,Ordered quantities,http://snomed.info/sct/,126112002,N/A
init.eb4fedd3-154d-43f8-ad6c-d89930b1e175,Dexamethasone Injection vial 8 mg,init.categ_products_drug_orders,product,init.5de903e6-2a66-4253-891d-86558e1282d2,init.5de903e6-2a66-4253-891d-86558e1282d2,Ordered quantities,https://cielterminology.org,74609,vial 8mg
init.0113c442-4959-430d-a389-8cbafa2b8733,Dextrose D50,init.categ_products_drug_orders,product,init.22109614-7512-4739-b28a-783354d19aa1,init.22109614-7512-4739-b28a-783354d19aa1,Ordered quantities,http://snomed.info/sct/,67079006,D50
init.3bc9e3a2-c85a-488b-b9a7-8e5fcafe2f81,Dextrose Normal Saline 0.45%,init.categ_products_drug_orders,product,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,Ordered quantities,http://snomed.info/sct/,776124000,0.0045
init.ec535874-98d9-463c-a12a-42fa070c2f22,Dextrose Normal Saline 0.9%,init.categ_products_drug_orders,product,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,Ordered quantities,http://snomed.info/sct/,776124000,0.009
init.f8e266ec-24c9-4f64-89b0-33f1a052bd57,Dextrose Water 10%,init.categ_products_drug_orders,product,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,Ordered quantities,http://snomed.info/sct/,67079006,0.1
init.f6438215-66a1-4e8f-a57a-b747981fd8f6,Dextrose Water 5%,init.categ_products_essential_drugs_orders,product,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,Ordered quantities,http://snomed.info/sct/,67079006,0.05
init.13b68d05-a6c1-43ac-ae12-a68eb8459ab6,Di-Gas Gtts 40mg,init.categ_products_drug_orders,product,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,Ordered quantities,https://cielterminology.org,83925,40mg
init.0e8496ea-c8f7-4f08-abef-994e3c3243a2,Diazepam Co 5mg,init.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,Ordered quantities,https://cielterminology.org,74745,5mg 
init.2dca268b-fdb8-42f2-85eb-73a884c020ce,Diazepam Injection vial 5 mg,init.categ_products_essential_drugs_orders,product,init.5de903e6-2a66-4253-891d-86558e1282d2,init.5de903e6-2a66-4253-891d-86558e1282d2,Ordered quantities,https://cielterminology.org,74745,vial 5mg
init.7bedc809-05bd-4baf-bd4b-5a21d9e48a01,Diclofenac Co 50mg,init.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,Ordered quantities,https://cielterminology.org,74778,50mg
init.2832337e-3ef1-47fa-8a46-2bc6e9910353,Diclofenac Injection vial 75 mg,init.categ_products_drug_orders,product,init.5de903e6-2a66-4253-891d-86558e1282d2,init.5de903e6-2a66-4253-891d-86558e1282d2,Ordered quantities,https://cielterminology.org,74778,vial 75mg
init.62ee5947-bf62-4a42-8c07-0f939f766afe,Dolex Pommade,init.categ_products_drug_orders,product,init.d8e77a4d-0224-413e-adac-0ecf66eb50ce,init.d8e77a4d-0224-413e-adac-0ecf66eb50ce,Ordered quantities,https://unknown.org,9539832615,N/A
init.c6f2a3cb-b57f-4537-a179-ea0764d38690,Doxicycline Co 100mg,init.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,Ordered quantities,https://cielterminology.org,75222,100mg
init.33558e37-627d-475f-b18f-5e5baf0ac0a6,Dyphenhydramine Co 25 mg,init.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,Ordered quantities,https://cielterminology.org,75015,25mg
init.3e3c72db-491c-4690-be8b-1f2528fa3266,Dyphenhydramine Injection vial 20 mg,init.categ_products_drug_orders,product,init.5de903e6-2a66-4253-891d-86558e1282d2,init.5de903e6-2a66-4253-891d-86558e1282d2,Ordered quantities,https://cielterminology.org,75015,vial 20mg
init.a377a5e6-0992-46c5-b5b0-5e3aafa27e16,Dyphenhydramine Sirop 12.5 mg/5ml,init.categ_products_drug_orders,product,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,Ordered quantities,https://cielterminology.org,75015,12.5mg/5ml
init.f3a1a212-12bc-43bd-b03f-73aeaac1379e,Dypirone Inj vial 1g,init.categ_products_drug_orders,product,init.5de903e6-2a66-4253-891d-86558e1282d2,init.5de903e6-2a66-4253-891d-86558e1282d2,Ordered quantities,http://snomed.info/sct/,780831000,vial 1 g
init.4deeccf6-6d1b-4a4a-a4ac-74c58aaeeb9e,Elétriptan 20-40mg,init.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,Ordered quantities,https://cielterminology.org,75563,20-40mg
init.38978734-0960-4c7d-bb1e-725532bc4c6a,Enalapril Co 10mg,init.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,Ordered quantities,https://cielterminology.org,75633,10mg
init.821cc62a-94c4-4928-999e-804bf32f0191,Ergotamine Co 2mg,init.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,Ordered quantities,https://cielterminology.org,75805, 2mg
init.872c01c8-e9c9-478f-b2f6-87acf661ab6c,Ergotamine Injection 2mg,init.categ_products_drug_orders,product,init.6705f17a-242e-44dc-87fa-ed6a15f2a1cb,init.6705f17a-242e-44dc-87fa-ed6a15f2a1cb,Ordered quantities,https://cielterminology.org,75805,2mg
init.cbbc7d55-db59-4ea3-9f3b-d3709b1bb82d,Erythromicine Co 500mg,init.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,Ordered quantities,https://cielterminology.org,75843,500mg
init.74c26d25-3b98-4bf7-b962-3de028b352a7,Erythromicine Sirop 125mg,init.categ_products_drug_orders,product,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,Ordered quantities,https://cielterminology.org,75843,125mg
init.114d5a9f-f369-4976-9eb7-1f78050c6a9b,Fer Folate Co,init.categ_products_essential_drugs_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,Ordered quantities,http://snomed.info/sct/,775952002,N/A
init.2b05efc6-833d-4718-9e39-6aab785cbfce,Fer Up Sirop,init.categ_products_drug_orders,product,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,Ordered quantities,https://cielterminology.org,76342,N/A
init.2f76266a-a841-4147-9401-c6b8409b8ccc,Fluconazole Co 150mg,init.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,Ordered quantities,https://cielterminology.org,76488,150mg
init.824dcc1b-27b7-459c-8f41-026b3af8dbe4,Fongobacter Rince Bouche,init.categ_products_drug_orders,product,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,Ordered quantities,https://unknown.org,6344838614,N/A
init.eff805bf-db0e-4adf-9a3d-9a5039083016,Furosemide Co 40mg,init.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,Ordered quantities,https://cielterminology.org,76734,40mg
init.109ca9ff-5a43-42bd-b039-ba08c683ebb5,Furosemide Injection vial 20 mg,init.categ_products_drug_orders,product,init.6705f17a-242e-44dc-87fa-ed6a15f2a1cb,init.6705f17a-242e-44dc-87fa-ed6a15f2a1cb,Ordered quantities,https://cielterminology.org,76734,vial 20mg
init.6e7bf710-843e-4bc3-b233-f40b09481276,Galocur 15%,init.categ_products_drug_orders,product,init.de57d5f9-4eba-4a92-9b6f-f8edff118ad1,init.de57d5f9-4eba-4a92-9b6f-f8edff118ad1,Ordered quantities,https://cielterminology.org,72075,0.15
init.f8b1ef4c-66b6-4520-addc-ee58dd011c65,Gastrogel Sirop,init.categ_products_drug_orders,product,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,Ordered quantities,https://cielterminology.org,944,N/A
init.b71cea8f-ce37-4956-8ac6-324ee5b6daa0,Gentamicine goutte,init.categ_products_drug_orders,product,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,Ordered quantities,https://cielterminology.org,100,N/A
init.a67aaa3a-0e89-4bb7-abf0-54eb6edbecad,Globugen Sirop,init.categ_products_drug_orders,product,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,init.e0f3730a-8fdb-436f-9ed7-1a724801ecc5,Ordered quantities,http://snomed.info/sct/,775952002,N/A
init.80143eee-aad0-42bc-885c-7b84fa9d9f44,Glybenclamide Co 5mg,init.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,Ordered quantities,https://cielterminology.org,159458,5mg
